story,l8h0_induction_attn,reward_score
"Once upon a time in a faraway land, there lived a poor man and his own son.  From whence the stranger, he was afraid, wanted a little boy and a little boy. The man was seen as a boy by the fire-door; and yet they were not at home.  “It is not a bad place,” said the woman; “the King knows nothing.”",0.09246802900688143,0.5555555555555556
"Once upon a time in a faraway land, there lived a little forest of trees, and the meadow grew thicker and thicker and thiner and less thicker, they were all small and smaller , while they grew thinier and thinier and lighter for climbing. Having found themselves still longer than ever, the trees grew more and more and more warm, more and more and more brighter they grew more rapidly. They grew more and more beautiful",0.2599575564221094,0.5555555555555556
"Once upon a time in a faraway land, there lived a tiny hut.  To a place with two great rooms, near one of these chairs, there was a small room, and the youngest of the servants.  They had seen the little green meadow trees, but still they were hardly asleep than that of the Princess, and they were not comfortable for a few minutes, before they fell asleep, at the door of his aunt's house in the next",0.09418790065549613,0.3333333333333333
"Once upon a time in a faraway land, there lived a giant oak, but the little animal did not grow at full length. Finally they were again the head on the stone, but they remained before the mills, to their own sake. They had a splendidly-spotted bird, still a little more beautiful than the little monkey. They seemed to make them look more human than his father himself, and he would be very human. Upon a time",0.0919943749478111,0.4444444444444444
"Once upon a time in a faraway land, there lived a very big bird. They were noisy in the wood, and so at last they came to a great forest. They ran before the giant, but none of them saw a lion. Then they left two miles, which showed them how they had left, and the King’s daughter said it is time to hunt. When they saw one the birds stopped picking up; but when they were satisfied and",0.1495429082825812,0.4444444444444444
"Once upon a time in a faraway land, there lived a beautiful wood house, the cottage. It was in the garden at night and looked like the old horse in the woods. It was dark, so they were there, and at last they reached the palace of the King. It saw a beautiful grass-white man in the moonlight, and saw the palace light of his window, the prince in it. They were in the shadows of the trees, and",0.17906199277167198,0.3333333333333333
"Once upon a time in a faraway land, there lived a giant group of people, and at one time they reached a village in the jungle, which had once been very angry; but with the same great beauty they were very well known to the prince. But how they dared to get up and see what a stranger they had left behind there. But they had nothing else but good food and good taste. For them they were very fond of it, and were",0.07280025439321508,0.4444444444444444
"Once upon a time in a faraway land, there lived a man who had never loved one, but he seemed to know that all was in no danger. For though he did not love one, he was always able to tell the truth. It was only if his head held a strange tree, not for his own it was always a living little creature. Sometimes he would see a tall red face or a tall gray skin on his back. He would see that",0.08834020174362686,0.5555555555555556
"Once upon a time in a faraway land, there lived a childless, poor child, not very little in particular. She was fond of the beauty of her child. That night she was still angry and sick; he had been asleep in the garden, and had come back as he had come to the hospital. There was little time to waste, and much noise, for it was so bad that he was obliged to let go the little house. Once she",0.17096695130632056,0.2222222222222222
"Once upon a time in a faraway land, there lived a little of the little people who had passed a little distance from the cave of the mountains, and had little to be seen. On the night of midnight they saw that they were no longer dead, and they were told that a little girl was not a witch in the forest, but was likely to be a man, and that he had been killed by a wolf from the sea.",0.0934138112506515,0.3333333333333333
"Once upon a time in a faraway land, there lived a king’s son, and he said he must be a King’s son. But when the prince had finished the year, he must leave them. When he asked the prince, “He must be home and there they were, and at last he said to have the king’s son with me, if he has not found the son of a King, and the King will let him be",0.17017021996903114,0.1111111111111111
"Once upon a time in a faraway land, there lived a youth, a young man, the horse, a young prince, and a boy whose heart had been drawn into being.  He sat up to the door, and saw the prince in his eyes, and did that just before he went away, and there he would sit in his old seat, and hear the man in the doorway of the church.",0.12778767803608282,0.5555555555555556
"Once upon a time in a faraway land, there lived a little white soldier, and a little white girl. Everybody knew of something but the smell of wine; and he, too, was in a great hurry to see if he had anything to eat. This was a sign that the smell of corn came. No one knew the flowery sky that had flown to the bottom of them for ever, until the sun grew red and gray. Some birds",0.0852055767733047,0.5555555555555556
"Once upon a time in a faraway land, there lived a black fish. Their father used the word ""toura"" and a name for the species ""Nyrosi"". The name ""Titian"" was given to the word ""r"" or ""lower"". Before that, it was known as a name used in Native Americans.",0.060414861670517093,0.5555555555555556
"Once upon a time in a faraway land, there lived a maiden dressed as a woman of beautiful dresses, and with a white dress to dress up as if with the very first thing in her voice. This beautiful dress had been worn by no less the same thing the woman appeared to play. Her mother called after her, and she brought home a beautiful house. When she came to the garden for a little cup of flowers, a few flowers had been seen,",0.0945102077097252,0.4444444444444444
"Once upon a time in a faraway land, there lived a beautiful woman who had come to the land for a little , who , after seeing all that came to his heart , ran up the Laughing Brook to find him , and walked to the edge of the water , where he was at least .",0.044767475746252956,0.1111111111111111
"Once upon a time in a faraway land, there lived a dead body-building merchant from the river. As soon as he got up and went there came all the beasts, and a few birds, who went off with no teeth, but ate up one of them, and sat down to sleep, and saw them through the trees, and in the morning he lay in it, looking at another little man: “what do-o,” “The little",0.08814928118084643,0.2222222222222222
"Once upon a time in a faraway land, there lived a deer.  They were only six little birds, but not one, and they were very long-bowled. It was an empty place that they had left alone but they were afraid of fish.  They came about seven hours in the morning and they were afraid of fish.  They were full of water and horses, and they were tired when they were tired of the animals and no one dared",0.1538160670063279,0.2222222222222222
